Name	Portuguese	Semantic	Concepticon	Eol
PATH / WAY	CAMINHO	MOTION	2252	
PEACH PALM	PUPUNHA	AGRICULTURE_AND_VEGETATION		1130861
PEANUT	AMENDOIM	AGRICULTURE_AND_VEGETATION	2364	641309
PECCARY (collared)	PORCO DO MATO / CAITITU / CAITETU	ANIMALS	435	1037712
PECCARY (white-lipped)	QUEIXADA	ANIMALS	436	357663
PENIS	PÊNIS	BODY	1222	
PEPPER	PIMENTA	FOOD_AND_DRINK	1385	
PERSON / HB / SOMEONE	PESSOA / SERHUMANO / ALGUÉM	KINSHIP	683	
PESTLE	PILÃO	FOOD_AND_DRINK	225	
PESTLE (VERB)	PILAR	BASIC_ACTIONS_AND_TECHNOLOGY		
PIERCE	FURAR / ESPETAR	BASIC_ACTIONS_AND_TECHNOLOGY	398	
PINEAPPLE	ABACAXI	FOOD_AND_DRINK	2440	1126520
PIRANHA	PIRANHA	ANIMALS	317	
PLAY	BRINCAR	EMOTIONS_AND_VALUES	1413	
PLAY (2) (CAUSE TO JUMP)	BRINCAR (2)	EMOTIONS_AND_VALUES		
PORRIDGE	MINGAU	FOOD_AND_DRINK		
PUMPKIN	ABÓBORA / MORANGA / JERIMUN	FOOD_AND_DRINK	864	
PUT	PÔR / COLOCAR	SPATIAL_RELATIONS	998	
RAIN	CHUVA	PHYSICAL_WORLD	658	
RAT	RATO	ANIMALS	1490	
RAW	CRU	FOOD_AND_DRINK	1959	
RED	VERMELHO	SENSE_PERCEPTION	156	
REMEMBER	LEMBRAR (-SE)	COGNITION	707	
RESIN	RESINA	THE_PHYSICAL_WORLD	664	
RETURN / COME BACK	VIRAR / VOLTAR	MOTION	581	
RIPE	MADURO	FOOD_AND_DRINK	178	
RIVER	RIO	PHYSICAL_WORLD	666	
ROAST	ASSAR	FOOD_AND_DRINK	1962	
ROOT	RAÍZ	AGRICULTURE_AND_VEGETATION	670	
ROPE	CORDA	BASIC_ACTIONS_AND_TECHNOLOGY	1218	
ROTTEN	PODRE / APODRECIDO	FOOD_AND_DRINK	1728	
ROUND	REDONDO	SPATIAL_RELATIONS	1395	
ROW / PADDLE	REMAR	MOTION	1849	
RUN	CORRER	MOTION	1519	
SAD (NESS)	TRISTE (ZA)	EMOTIONS_AND_VALUES	699	
SALIVA	SALIVA	BODY	1503	
SALT	SAL	FOOD_AND_DRINK	1274	
SAND	AREIA	PHYSICAL_WORLD	1127	
SAY	DIZER	SPEECH_AND_LANGUAGE	1458	
SCARE	ASSUSTAR / AMEDRONTAR	EMOTIONS_AND_VALUES	252	
SCORPION	ESCORPIÃO	ANIMALS	1538	
SEE	VER	SENSE_PERCEPTION	1409	
SEED	SEMENTE	AGRICULTURE_AND_VEGETATION	714	
SEEK / LOOK FOR / SEARCH	BUSCAR / PROCURAR	POSSESSION	1468	
SEND	ENVIAR	MOTION	1127	
SHADOW	SOMBRA	THE_PHYSICAL_WORLD	2275	
SHAMAN	PAJÉ	RELIGION_AND_BELIEF	394	
SHARPEN	AFIAR	SENSE_PERCEPTION	251	
SHELL / BARK	CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
SHELL	CONCHA	ANIMALS	598	
SHOOT	ATIRAR	WARFARE_AND_HUNTING	1172
SHORT	CURTO	SPATIAL_RELATIONS	1645	
SICK / ILL	DOENTE	BODY	1847	
SING	CANTAR	SPEECH_AND_LANGUAGE	1261	
SISTER	IRMÃ	KINSHIP	1263	
SISTER (Y OF W)	IRMÃ	KINSHIP		
SISTER (O OF W)	IRMÃ	KINSHIP		
SISTER, OF M	IRMÃ	KINSHIP		
SIT	SENTAR (-SE)	SPATIAL_RELATIONS	1416	
SKIN	PELE	BODY	763	
SKY	CÉU	PHYSICAL_WORLD	1732	
SLEEP	DORMIR	BODY	1585	
SLOTH	BICHO PREGUIÇA	ANIMALS	2446	
SMALL	PEQUENO	SPATIAL_RELATIONS	1246	
SMOKE (n)	FUMAÇA	PHYSICAL_WORLD	778	
SNAIL	CARACOL / LESMA	ANIMALS	1543	
SNAKE	COBRA	ANIMALS	730	
SNORE	RONCAR	BODY	1983	
SON OF WOMAN	FILHO DE MULHER	KINSHIP	1620	
SON OF MAN	FILHO DE HOMEN	KINSHIP	1620	
SOUR / ACID /BITTER	AZEDO / AMARGO	SENSE_PERCEPTION	1906	
SPEAK	FALAR	SPEECH_AND_LANGUAGE	1623	
SPIDER	ARANHA	ANIMALS	843	166
SPIDER MONKEY	MACACO PRETO / MACACO ARANHA / COATÁ	ANIMALS	434	41555
SPROUT	BROTAR / GERMINAR	BASIC_ACTIONS_AND_TECHNOLOGY	2076	
SQUIRREL	ESQUILO / CAXINGUELÊ/ QUATIMIRIM / QUATIPURU / SERELEPE	ANIMALS	1628	34612
STAND	ESTAR DE / EM PÉ / LEVANTAR	BODY	1442	
STAR	ESTRELA	PHYSICAL_WORLD	1430	
STINGRAY	ARRAIA	ANIMALS	1910	46560356
STOMACH	ESTÔMAGO	BODY	819	
STONE	PEDRA	PHYSICAL_WORLD	857	
STRONG	FORTE	BODY	785	
SUCK	SUGAR / CHUPAR	FOOD_AND_DRINK	1421	
SUN	SOL	PHYSICAL_WORLD	1343	
SURUBIM FISH	PINTADO / BAGRE	ANIMALS		356148
SWEAT	SUOR	BODY	125	
SWEEP	VARRER	BASIC_ACTIONS_AND_TECHNOLOGY	230	
SWEET	DOCE	SENSE_PERCEPTION	717	
SWEET POTATO	BATAT-DOCE	FOOD_AND_DRINK	159	580962
SWIM	NADAR	MOTION	1439	
TAIL	RABO / CAUDA	BODY	1220	
TAPIR	ANTA	ANIMALS	312	
TAYRA	IRARA	ANIMALS		328036
TEACH	ENSINAR	COGNITION	709	
TELL / NARRATE	CONTAR	SPEECH_AND_LANGUAGE	1711	
TERMINATE / FINISH	ACABAR / TERMINAR	TIME	1766	
TERMITE	CUPIM	ANIMALS	883	
TESTICLES	TESTÍCULOS	BODY	797	
THAT	AQUELE / AQUILO	MISCELLANEOUS_FUNCTION_WORDS	78	
THICK	GROSSO	SPATIAL_RELATIONS	1244	
THING	COISA	POSSESSION	738	
THIS	ESTE	MISCELLANEOUS_FUNCTION_WORDS	1214	
THREE	TRÊS	QUANTITY	492	
THORN	ESPINHO	AGRICULTURE_AND_VEGETATION	124	
THUNDER	TROVÃO	PHYSICAL_WORLD	1150	
THROAT	GARGANTA	BODY	1346	
THROW	JOGAR /LANÇAR	MOTION	1456
TICK	CARRAPATO	ANIMALS	1527	
TIE	ATAR / AMARRAR	BASIC_ACTIONS_AND_TECHNOLOGY	1917	
TIMBO LIANA	TIMBÓ	AGRICULTURE_AND_VEGETATION	2388	
TINAMOU	INHAMBU / NAMBU / PERDIZ / XORORÓ	ANIMALS		8669
TIRED	CANSADO	BODY	1757	
TOBACCO	FUMO / TABACO	AGRICULTURE_AND_VEGETATION	974	38459
TODAY	HOJE	TIME	1283	
TOMORROW	AMANHÃ	TIME	1329	
TONGUE	LÍNGUA	BODY	1205	
TOOTH	DENTE	BODY	1380	
TOUCAN	TUCANO	ANIMALS	308	1593
TRAHIRA FISH	TRAÍRA	ANIMALS		6903
TREE	ÁRVORE	AGRICULTURE_AND_VEGETATION	906	
TUCUMA_PALM	TUCUMÃ	AGRICULTURE_AND_VEGETATION	2439	29370
TURTLE	TARTARUGA / JABOTI / JABUTI	ANIMALS	112	794307
TWO	DOIS / DUAS	QUANTITY	1498	
UGLY	FEIO	EMOTIONS_AND_VALUES	1548	
UNCLE (MOBR)	TIO (MATERNO)	KINSHIP	2692	
UNTIE	DESATAR / DESAMARRAR / SOLTAR	BASIC_ACTIONS_AND_TECHNOLOGY	352	
URINATE	URINAR	BODY		
VEIN	VEIA	BODY	1924	
VILLAGE	ALDEIA	SOCIAL_AND_POLITICAL_RELATIONS	930	
VILLAGE SQUARE	PÁTIO /PRAÇA	SOCIAL_AND_POLITICAL_RELATIONS		
VOMIT	VOMITAR	BODY	1278	
VULTURE	URUBÚ	ANIMALS	1185	2922049
WAKE UP	ACORDAR	THE_BODY	1602	
WALK	ANDAR / CAMINHAR	MOTION	1443	
WANT	QUERER	EMOTIONS_AND_VALUES	1784	
WASH	LAVAR	BASIC_ACTIONS_AND_TECHNOLOGY	1453	
WASP	VESPA	ANIMALS	1517	
WATER	ÁGUA	PHYSICAL_WORLD	948
WATERFALL	CACHOEIRA	PHYSICAL_WORLD	943
WAX	CERA	ANIMALS		
WE (EXCL)	NÓS	KINSHIP	1130	
WE (INCL)	NÓS	KINSHIP	1131	
WEAVE	TECER	BASIC_ACTIONS_AND_TECHNOLOGY	133	
WET	MOLHADO	SENSE_PERCEPTION	1726	
WHAT	OQUÊ	MISCELLANEOUS_FUNCTION_WORDS	1236	
WHITE	BRANCO	SENSE_PERCEPTION	1335	
WHO	QUEM	MISCELLANEOUS_FUNCTION_WORDS	1235	
WIFE	ESPOSA	KINSHIP	1199	
WILD CAT	GATO DO MATO	ANIMALS	2241	311661
WILD DOG	CACHORRO DO MATO	ANIMALS	2448	328685
WIND	VENTO	PHYSICAL_WORLD	960	
WING	ASA	BODY	1257	
WOODPECKER	PICA-PAU	ANIMALS	2447	1595
WOMAN	MULHER	KINSHIP	962	
WORM (EARTH)	VERME / MINHOCA	ANIMALS	2350	
WOUND	FERIDA	THE_BODY	1109	
YELLOW	AMARELO	SENSE_PERCEPTION	1424	
YESTERDAY	ONTEM	FUNCTION_WORD	1174	
YOU (SG)	VOCÊ / TU	KINSHIP	1213	
YOU (PL)	VOCÊS / VÓS	KINSHIP	1213	
NECKLACE	COLAR	CLOTHING_AND_GROOMING	1961		
