Language	Concept	Portuguese	Form	Semantic	Concepticon	Cognate	Notes
Xipaya	MONKEY	MACACO	perumẽ	ANIMALS	1350		
Xipaya	MOON	LUA	mãdɨka	PHYSICAL WORLD	1313		
Xipaya	MORNING	MANHÃ	kapainaku	TIME	1339		
Xipaya	MOUNTAIN / HILL	MONTANHA / MONTE / MORRO	tua	PHYSICAL WORLD	639 / 2118		
Xipaya	MOSQUITO	PERNILONGO / MURIÇOCA / CARAPANÃ	puri	ANIMALS	1509		
Xipaya	MOTHER	MOTHER	diã	KINSHIP	1216	3	
Xipaya	MOTHER-IN-LAW (OF MEN)	SOGRA(DE HOMEM)	anija ndʒa	KINSHIP	2257		
Xipaya	MOTHER-IN-LAW (OF WOMAN)	SOGRA(DE MULHER)	mena ndʒa	KINSHIP	2256		
Xipaya	MOULD	MOFO		PHYSICAL WORLD			
Xipaya	MOUSTACHE	BIGODE	ɲaβutapa	BODY	1165		
Xipaya	MOUTH	BOCA	-mita	BODY	674		
Xipaya	NAIL / CLAW	UNHA / GARRA	maraʃá	BODY	2128		
Xipaya	NAME	NOME	yá	SPEECH AND LANGUAGE	1405		
Xipaya	NECK	PESCOÇO	uburia	BODY	1333		
Xipaya	NEST	NINHO	atiã	ANIMALS	539		
Xipaya	NEW	NOVO	párahu	TIME	1231		
Xipaya	NIGHT	NOITE	kamãdɨhu	TIME	1233		
Xipaya	NOSE	NARIZ	jamɨ̃kua	BODY	1221		
Xipaya	NOW	AGORA	máʃi	TIME	1376		also means 'today'
Xipaya	OAR	REMO	kutapa	MOTION	3137		
Xipaya	OLD (ADJ)	VELHO	dúrea	TIME	1229		
Xipaya	ONE	UM	meméhinaku	QUANTITY	1493		
Xipaya	OPEN	ABRIR		SPATIAL RELATIONS	1156		
Xipaya	OPOSSUM / SKUNK	GAMBÁ	kuhudi	ANIMALS	309		
Xipaya	OTHER / SOME	OUTRO / ALGUM	mamã	MISCELLANEOUS FUNCTION WORDS	197 /1241		
Xipaya	OWL	CORUJA	kujuhu	ANIMALS	735		
Xipaya	PACA	PACA	bɨ	ANIMALS	316		
Xipaya	PACU FISH	PACU	pakuɨ	ANIMALS			
Xipaya	PAIN / HURT	DOR / MACHUCADO	wadi	EMOTIONS AND VALUES	1783 / 2561		
Xipaya	PAN	PANELA		FOOD AND DRINK	31		
Xipaya	PAPAYA	MAMÃO	jũpãjũpã	AGRICULTURE AND VEGETATION	2445		
Xipaya	PARROT	PAPAGAIO	kurara	ANIMALS	882		
Xipaya	PATH / WAY	CAMINHO	bapa	MOTION	2252		
Xipaya	PEACH PALM	PUPUNHA		AGRICULTURE AND VEGETATION			
Xipaya	PEANUT	AMENDOIM		AGRICULTURE AND VEGETATION	2364		
Xipaya	PECCARY (COLLARED)	PORCO DO MATO / CAITITU / CAITETU	jãkũbi	ANIMALS	435		
Xipaya	PECCARY (WHITE-LIPPED)	QUEIXADA	huza	ANIMALS	436		
Xipaya	PENIS	PÊNIS	tajpí	BODY	1222	3	
Xipaya	PEPPER	PIMENTA	pɨa	FOOD AND DRINK	1385		
Xipaya	PERSON / HB / SOMEONE	PESSOA / SERHUMANO / ALGUÉM	aʔai / tana	KINSHIP	683		
Xipaya	PESTLE	PILÃO	hẽã	FOOD AND DRINK	225	1	
Xipaya	PESTLE (VERB)	PILAR	takú			1	
Xipaya	PIERCE	FURAR / ESPETAR	náku	BASIC ACTIONS AND TECHNOLOGY	398		
Xipaya	PINEAPPLE	ABACAXI	arabaʃi	FOOD AND DRINK	2440	5	
Xipaya	PIRANHA	PIRANHA	pakĩ	ANIMALS	317		
Xipaya	PLAY	BRINCAR	βutáhu	EMOTIONS AND VALUES	1413		
Xipaya	PLAY (2) (CAUSE TO JUMP)		pɨrɨku	EMOTIONS AND VALUES			
Xipaya	PORRIDGE	MINGAU	yakúpa	FOOD AND DRINK		6	
Xipaya	PUMPKIN	ABÓBORA / MORANGA /	kurua	FOOD AND DRINK	864	3	
Xipaya	PUT	PÔR / COLOCAR	máku	SPATIAL RELATIONS	998		
Xipaya	RAIN	CHUVA	mana	PHYSICAL WORLD	658	1	
Xipaya	RAT	RATO	tarara	ANIMALS	1490	9	
Xipaya	RAW	CRU		FOOD AND DRINK	1959		
Xipaya	RED	VERMELHO	kapururi	SENSE PERCEPTION	156	5	
Xipaya	REMEMBER	LEMBRAR(-SE)	kudu	COGNITION	707	1	
Xipaya	RESIN	RESINA		THE PHYSICAL WORLD	664		
Xipaya	RETURN / COME BACK	VIRAR / VOLTAR	esú	MOTION	581		
Xipaya	RIPE	MADURO	up	FOOD AND DRINK	178		
Xipaya	RIVER	RIO	já	PHYSICAL WORLD	666		also means 'water'
Xipaya	ROAST	ASSAR	atuhu	FOOD AND DRINK	1962		
Xipaya	ROOT	RAÍZ	sipiaβu	AGRICULTURE AND VEGETATION	670		
Xipaya	ROPE	CORDA	náma	BASIC ACTIONS AND TECHNOLOGY	1218	1	
Xipaya	ROUND	REDONDO	mbirikáhu	SPATIAL RELATIONS	1395		
Xipaya	ROW	REMAR	urúku	MOTION	1849		
Xipaya	RUN	CORRER	tahu	MOTION	1519		
